Country/Region,Date,all_cases
Iceland,2020-01-22,0
Iceland,2020-01-23,0
Iceland,2020-01-24,0
Iceland,2020-01-25,0
Iceland,2020-01-26,0
Iceland,2020-01-27,0
Iceland,2020-01-28,0
Iceland,2020-01-29,0
Iceland,2020-01-30,0
Iceland,2020-01-31,0
Iceland,2020-02-01,0
Iceland,2020-02-02,0
Iceland,2020-02-03,0
Iceland,2020-02-04,0
Iceland,2020-02-05,0
Iceland,2020-02-06,0
Iceland,2020-02-07,0
Iceland,2020-02-08,0
Iceland,2020-02-09,0
Iceland,2020-02-10,0
Iceland,2020-02-11,0
Iceland,2020-02-12,0
Iceland,2020-02-13,0
Iceland,2020-02-14,0
Iceland,2020-02-15,0
Iceland,2020-02-16,0
Iceland,2020-02-17,0
Iceland,2020-02-18,0
Iceland,2020-02-19,0
Iceland,2020-02-20,0
Iceland,2020-02-21,0
Iceland,2020-02-22,0
Iceland,2020-02-23,0
Iceland,2020-02-24,0
Iceland,2020-02-25,0
Iceland,2020-02-26,0
Iceland,2020-02-27,0
Iceland,2020-02-28,1
Iceland,2020-02-29,1
Iceland,2020-03-01,3
Iceland,2020-03-02,6
Iceland,2020-03-03,11
Iceland,2020-03-04,26
Iceland,2020-03-05,34
Iceland,2020-03-06,43
Iceland,2020-03-07,50
Iceland,2020-03-08,50
Iceland,2020-03-09,58
Iceland,2020-03-10,69
Iceland,2020-03-11,85
Iceland,2020-03-12,103
Iceland,2020-03-13,134
Iceland,2020-03-14,156
Iceland,2020-03-15,171
Iceland,2020-03-16,180
Iceland,2020-03-17,220
Iceland,2020-03-18,250
Iceland,2020-03-19,330
Iceland,2020-03-20,409
Iceland,2020-03-21,473
Iceland,2020-03-22,568
Iceland,2020-03-23,568
